,Марка,YearMonth,Страховая сумма,Количество дней от события до урегулирования,Оценка убытка
2891,Киа,202302,2109081.157185589,8.0,153842
2892,Киа,202407,1826684.8752795567,1.0,165268
2893,Lada,202302,1067208.584423081,100.0,148301
2894,Lada,202306,923340.3085017422,32.0,106099
2895,Lada,202304,699420.8594202953,31.0,184406
2896,Лада Самара,202403,225391.26015935288,28.0,141275
2897,Киа,202308,1671513.6793634184,12.0,170657
2898,Мерседес-Бенц,202303,5628045.967657497,38.0,218705
2899,Киа,202303,1686306.1915739637,23.0,133122
2900,Киа,202308,2077615.428533161,29.0,161618
2901,Киа,202406,1529247.0385424574,0.0,125939
2902,Жигули,202302,408309.1995009983,-100.0,125463
2903,Лада Самара,202312,437052.096921295,35.0,143602
2904,Жигули,202403,304039.8948820089,25.0,135746
2905,Киа,202409,2408474.430872593,15.0,146412
2906,Киа,202403,2984493.1045629904,32.0,120986
2907,Lada,202409,705847.2905650043,4.0,130576
2908,Мерседес-Бенц,202312,5338059.574329222,54.0,224365
2909,Киа,202302,2397528.765797162,0.0,143127
2910,Мерседес-Бенц,202410,4793053.003249728,1.0,198047
2911,Мерседес-Бенц,202401,7430828.804043479,24.0,201253
2912,Lada,202402,1106258.500047621,,145154
2913,Киа,202306,1529052.9415639013,2.0,170919
2914,Mercedes,202302,5266817.738088281,44.0,228025
2915,Лада Самара,202402,674570.1276852998,4.0,144585
2916,Lada,202311,748094.0423898121,53.0,151970
2917,Лада Самара,202306,392896.4610195107,21.0,125512
2918,Киа,202301,1728188.190724985,35.0,140407
2919,Лада Самара,202410,440708.5927859907,50.0,153163
2920,Lada,202407,752108.3875438172,32.0,127549
2921,Жигули,202410,389577.9753981725,21.0,119660
2922,Киа,202305,1907489.2649684178,4.0,154958
2923,Киа,202406,1134673.9606244809,8.0,136584
2924,Lada,202402,527085.3613082141,30.0,134528
2925,Киа,202304,2694222.161533479,26.0,158704
2926,Лада Самара,202412,591824.7246071522,33.0,113523
2927,Lada,202305,733147.3928544942,5.0,135206
2928,Мерседес-Бенц,202303,7931172.37583633,0.0,169391
2929,Lada,202304,678374.0657447528,22.0,130177
2930,Киа,202307,1353737.0225353362,58.0,150867
2931,Мерседес-Бенц,202310,5387610.878997645,1.0,160844
2932,Жигули,202402,441092.1694568677,11.0,117212
2933,Киа,202401,2716716.0772662787,4.0,129016
2934,Лада Самара,202307,330398.9843291685,13.0,116158
2935,Жигули,202302,384718.4545622774,35.0,122660
2936,Жигули,202407,501485.2971184834,-100.0,132762
2937,Мерседес-Бенц,202307,5916064.393444143,35.0,225004
2938,Киа,202411,1755966.0495552837,8.0,139826
2939,Мерседес-Бенц,202302,3270854.730216812,9.0,181506
2940,Мерседес-Бенц,202305,8207830.348604187,-100.0,205741
2941,Киа,202311,2786921.113515437,3.0,160036
2942,Лада Самара,202306,351359.4030737963,15.0,140670
2943,Lada,202311,1436294.8418090506,89.0,125510
2944,Мерседес-Бенц,202311,5754632.721178891,18.0,197722
2945,Киа,202303,2569689.5698971823,12.0,139839
2946,Мерседес-Бенц,202404,5779517.049185219,44.0,158356
2947,Киа,202305,1281673.773241685,46.0,169771
2948,Жигули,202302,541046.7914732547,7.0,127687
2949,Киа,202501,2876556.676263734,17.0,176511
2950,Lada,202302,872454.8719204022,6.0,153472
2951,Лада Самара,202308,194087.675687586,13.0,135552
2952,Лада Самара,202304,485407.4000692746,21.0,149800
2953,Лада Самара,202306,243540.86059433903,77.0,132709
2954,Мерседес-Бенц,202501,4750471.427345272,45.0,214969
2955,Лада Самара,202303,407252.4507868505,54.0,129334
2956,Lada,202312,1287244.0200477608,13.0,135945
2957,Киа,202402,2622921.456964496,17.0,160868
2958,Lada,202410,700697.8495185287,37.0,145738
2959,Мерседес-Бенц,202311,7700429.69772806,4.0,161113
2960,Lada,202411,534870.9824093434,15.0,146861
2961,Lada,202412,799833.8945705501,14.0,119894
2962,Жигули,202302,352870.57041986834,66.0,117124
2963,Киа,202401,2299696.617490622,12.0,126452
2964,Lada,202412,542455.2768934491,30.0,127382
2965,Мерседес-Бенц,202406,4837287.602228673,23.0,237453
2966,Киа,202305,2669837.559519456,28.0,158324
2967,Жигули,202308,583920.6390910299,8.0,122730
2968,Жигули,202311,337968.9595824101,16.0,147440
2969,Лада Самара,202309,330165.1173467583,0.0,116936
2970,Лада Самара,202302,357979.0941167632,19.0,137869
2971,Лада Самара,202309,377692.0106652947,7.0,149769
2972,Жигули,202306,271263.44063595793,103.0,135421
2973,Лада Самара,202302,499694.633199719,8.0,142583
2974,Лада Самара,202403,495056.1448204077,39.0,152394
2975,Киа,202305,2391473.1119706864,16.0,165582
2976,Жигули,202408,382341.6216756571,20.0,130113
2977,Киа,202501,2717690.425632827,18.0,134479
2978,Киа,202309,2529727.8839448886,-100.0,148893
2979,Киа,202302,3497806.530637848,1.0,162334
2980,Жигули,202409,408829.1791211232,40.0,114851
2981,Lada,202310,898602.0560260791,15.0,126500
2982,Киа,202406,2004195.7953065708,18.0,152258
2983,Лада Самара,202301,449906.210916689,4.0,147058
2984,Мерседес-Бенц,202402,4081825.195595287,16.0,189252
2985,Lada,202410,780263.1728472185,12.0,125532
2986,Жигули,202301,344471.3368401797,2.0,97983
2987,Мерседес-Бенц,202408,4723118.468486969,13.0,189409
2988,Лада Самара,202405,282488.9435547936,40.0,146483
2989,Mercedes,202501,5203246.117270317,77.0,213488
2990,Lada,202402,713920.8061750823,6.0,120156
2991,Киа,202305,1857527.4278702217,21.0,146088
2992,Lada,202305,891482.3499273654,7.0,129105
2993,Мерседес-Бенц,202412,10969074.921536136,79.0,228580
2994,Жигули,202306,364031.69634522643,2.0,104322
2995,Жигули,202304,252039.8541678722,69.0,104993
2996,Мерседес-Бенц,202412,5994184.803154065,6.0,227541
2997,Киа,202409,1984309.2191945917,103.0,161726
2998,Жигули,202310,308967.76429618674,8.0,106630
2999,Лада Самара,202412,318124.1253935798,38.0,151931
3000,Lada,202403,1122294.0277455314,3.0,108812
3001,Киа,202405,2062649.1216196644,6.0,163467
3002,Жигули,202408,382139.3500383453,1.0,130633
3003,Мерседес-Бенц,202303,5380517.551751076,7.0,237050
3004,Лада Самара,202306,607255.9121028811,13.0,119528
3005,Лада Самара,202311,427719.6191479762,79.0,136424
3006,Киа,202410,2124545.9861220857,16.0,130304
3007,Мерседес-Бенц,202301,7704907.41818766,13.0,237513
3008,Киа,202308,2626970.341175114,3.0,158126
3009,Жигули,202405,345071.6110503835,5.0,120605
3010,Лада Самара,202301,379596.98254462937,2.0,120626
3011,Лада Самара,202312,550864.478900433,10.0,131200
3012,Киа,202501,1894850.7663299078,36.0,152819
3013,Киа,202310,2092444.3365001548,6.0,168173
3014,Мерседес-Бенц,202409,5227671.852641311,25.0,222265
3015,Мерседес-Бенц,202304,4515575.182881444,11.0,197833
3016,Киа,202407,3306870.182215142,83.0,142761
3017,Lada,202412,770620.0210466208,40.0,143104
3018,Киа,202405,3315494.4424232785,8.0,163722
3019,Лада Самара,202306,404159.28548990923,41.0,151297
3020,Мерседес-Бенц,202406,6273145.195487264,,191670
3021,Лада Самара,202309,573427.4713322552,2.0,126590
3022,Киа,202306,1410651.7878841197,24.0,161989
3023,Lada,202406,1074209.6898828445,33.0,128791
3024,Лада Самара,202501,432336.4562520922,15.0,138259
3025,Лада Самара,202308,411688.272246412,35.0,137423
3026,Lada,202402,819153.4719101401,1.0,121963
3027,Lada,202304,807643.1474449974,54.0,157572
3028,Lada,202401,1050334.4517261826,5.0,133189
3029,Лада Самара,202501,270793.24573245447,1.0,119689
3030,Мерседес-Бенц,202407,4435096.936290184,66.0,229270
3031,Мерседес-Бенц,202409,6030228.085264083,6.0,239542
3032,Жигули,202310,376564.60894654796,38.0,123764
3033,Киа,202406,2791754.0809073863,6.0,137820
3034,Lada,202401,858616.5449114179,23.0,118841
3035,Лада Самара,202403,276844.89513961796,1.0,127685
3036,Мерседес-Бенц,202408,3658646.9693168495,13.0,261563
3037,Лада Самара,202301,378659.508737471,24.0,142270
3038,Lada,202405,1168586.1283260067,1.0,121764
3039,Лада Самара,202309,461006.97355530574,49.0,133671
3040,Киа,202411,2966614.6131249177,2.0,135487
3041,Жигули,202412,378973.0968424378,3.0,122320
3042,Киа,202310,1660412.1851146962,12.0,128478
3043,Мерседес-Бенц,202309,5976104.920895649,0.0,199994
3044,Жигули,202405,556770.6085127202,48.0,123684
3045,Lada,202411,732419.1942541655,97.0,161472
3046,Киа,202409,1936538.937969756,13.0,158596
3047,Мерседес-Бенц,202401,13677776.986277886,11.0,228292
3048,Киа,202410,2131062.5706257494,13.0,162312
3049,Киа,202301,1816817.8135958875,56.0,156246
3050,Киа,202406,2754040.96423436,30.0,161828
3051,Lada,202411,628869.7281855099,17.0,138242
3052,Мерседес-Бенц,202312,4869567.3000947265,40.0,184899
3053,Киа,202310,2538223.762175737,21.0,160568
3054,Киа,202406,1727297.2057693435,7.0,146188
3055,Мерседес-Бенц,202310,7295356.808478598,50.0,246776
3056,Жигули,202311,325136.59964664216,99.0,114267
3057,Киа,202412,2691807.108654835,21.0,132644
3058,Lada,202403,1163611.3917682956,35.0,148760
3059,Жигули,202406,352314.8772292741,17.0,95811
3060,Лада Самара,202406,469372.9808630514,0.0,138349
3061,Жигули,202402,298303.69721902267,73.0,135820
3062,Жигули,202303,495966.96886957553,35.0,119001
3063,Киа,202402,2819978.128163341,16.0,147603
3064,Жигули,202310,440174.5548831104,58.0,111101
3065,Мерседес-Бенц,202407,7591715.643214487,3.0,187284
3066,Киа,202301,2813611.408311094,3.0,151280
3067,Жигули,202312,359191.70216058067,56.0,130735
3068,Киа,202405,1360773.5619612667,4.0,142414
3069,Lada,202501,435606.55530272075,72.0,130757
3070,Lada,202412,677213.9531833371,8.0,136676
3071,Киа,202402,2430364.854194914,15.0,163103
3072,Киа,202301,2287259.2080184054,16.0,152566
3073,Жигули,202304,534199.3158831502,11.0,126675
3074,Lada,202405,1050582.1407583354,0.0,124350
3075,Киа,202403,2142060.345733689,50.0,127059
3076,Lada,202409,1132558.7676010143,48.0,149939
3077,Жигули,202309,555140.5719257205,5.0,95274
3078,Lada,202404,626472.317642902,0.0,114411
3079,Киа,202411,2194824.0962452185,26.0,154639
3080,Мерседес-Бенц,202312,6183135.67987298,19.0,193326
3081,Lada,202308,920535.4892302966,4.0,133875
3082,Киа,202403,3536360.80280091,36.0,175606
3083,Лада Самара,202303,649854.6173037976,22.0,115651
3084,Киа,202405,3521933.649482355,12.0,154593
3085,Киа,202308,1571430.6301536597,5.0,125626
3086,Жигули,202310,345379.2794206697,3.0,115400
3087,Лада Самара,202412,384466.0776841717,37.0,126266
3088,Лада Самара,202309,610792.3497972938,24.0,116829
3089,Киа,202405,2593481.1356227957,51.0,174715
3090,Киа,202402,2893147.6790662343,8.0,154560
3091,Киа,202305,2016087.0132005448,21.0,173706
3092,Жигули,202304,311607.10986553214,13.0,111643
3093,Мерседес-Бенц,202303,4582514.387222925,4.0,224463
3094,Lada,202501,1144561.1820779378,23.0,143068
3095,Жигули,202410,329465.4690666798,18.0,106577
3096,Киа,202312,1300876.0958492667,26.0,135944
3097,Жигули,202308,309464.20417537447,21.0,109140
3098,Жигули,202310,401755.07362575113,70.0,126928
3099,Мерседес-Бенц,202406,9356159.262582824,35.0,213813
3100,Киа,202410,2452518.714634257,61.0,178374
3101,Лада Самара,202409,357142.4423298799,9.0,121235
3102,Lada,202401,757229.0658809376,13.0,141568
3103,Киа,202501,2152303.771030067,12.0,153877
3104,Киа,202405,3194793.5466774916,21.0,140872
3105,Киа,202303,2797131.2118627885,38.0,164994
3106,Киа,202312,2760573.4472488645,9.0,145553
3107,Лада Самара,202408,302967.3802233268,-100.0,130577
3108,Лада Самара,202401,278017.17960353405,8.0,134488
3109,Жигули,202411,370066.34581011935,20.0,114586
3110,Мерседес-Бенц,202408,7783209.444536844,66.0,218298
3111,Мерседес-Бенц,202402,8173339.132610858,4.0,214776
3112,Lada,202408,571243.8996441936,29.0,151697
3113,Жигули,202302,226427.83679856366,41.0,118233
3114,Жигули,202501,308781.43754561315,3.0,116110
3115,Lada,202304,1033275.5630167786,37.0,121785
3116,Лада Самара,202307,486425.5307397585,11.0,127190
3117,Мерседес-Бенц,202410,4643710.354594644,48.0,192603
3118,Lada,202403,722222.590398054,23.0,139235
3119,Мерседес-Бенц,202401,3519118.971789534,4.0,216507
3120,Lada,202406,777676.3104593013,21.0,150433
3121,Жигули,202501,336149.0681643485,16.0,136427
3122,Lada,202402,662616.9008633234,6.0,141719
3123,Мерседес-Бенц,202305,6212687.400931602,1.0,197192
3124,Lada,202306,1018853.4394754475,11.0,116093
3125,Лада Самара,202311,687065.6692588726,-100.0,140639
3126,Киа,202310,2273521.981615997,73.0,140046
3127,Лада Самара,202412,477536.6665901427,12.0,130882
3128,Lada,202306,748679.8420629121,43.0,135088
3129,Жигули,202501,315028.6796046073,15.0,110732
3130,Киа,202412,1950674.0386686602,51.0,141147
3131,Жигули,202403,357715.7410536929,11.0,121602
3132,Киа,202406,2155585.650392102,5.0,145988
3133,Lada,202311,1133554.5262184879,8.0,131584
3134,Киа,202301,1796740.5331657988,-100.0,142143
3135,Киа,202501,1921292.040262266,28.0,167430
3136,Мерседес-Бенц,202411,6611053.586612543,9.0,175095
3137,Киа,202302,1660782.5463157312,33.0,186206
3138,Лада Самара,202403,472154.21064985736,11.0,133916
3139,Lada,202501,1014924.7264673772,1.0,121809
3140,Lada,202310,636596.1476654188,24.0,116156
3141,Лада Самара,202311,278796.73516095424,84.0,121169
3142,Жигули,202303,271004.7613809955,,123468
3143,Лада Самара,202403,510493.4175922633,23.0,129458
3144,Lada,202501,878948.7776170719,15.0,118302
3145,Киа,202312,2180287.014386271,37.0,134049
3146,Lada,202401,1092066.8571111846,55.0,128824
3147,Жигули,202405,409871.5885849398,8.0,115143
3148,Киа,202304,2605875.28512566,28.0,164090
3149,Киа,202406,1486565.089602485,23.0,142973
3150,Мерседес-Бенц,202302,7639958.322520113,15.0,265488
3151,Киа,202411,1907995.4544299634,15.0,153931
3152,Мерседес-Бенц,202304,8173335.871956732,13.0,220456
3153,Мерседес-Бенц,202308,4308352.940944824,2.0,223880
3154,Лада Самара,202304,360386.5378257888,24.0,117274
3155,Lada,202305,1212987.0583016146,37.0,129153
3156,Лада Самара,202407,556025.133184965,50.0,132987
3157,Лада Самара,202409,488238.1463786569,15.0,150932
3158,Лада Самара,202311,547328.5338190735,33.0,135381
3159,Жигули,202408,230740.47533729137,14.0,121944
3160,Lada,202301,756844.0815074571,4.0,144931
3161,Мерседес-Бенц,202306,6495177.479652607,18.0,225109
3162,Жигули,202408,489124.425935133,59.0,144385
3163,Мерседес-Бенц,202307,6245550.84121807,19.0,178271
3164,Lada,202306,1011216.7026150901,2.0,124156
3165,Жигули,202410,316529.8553683881,5.0,114838
3166,Киа,202412,3062375.258770269,36.0,141013
3167,Лада Самара,202402,573968.6124499548,38.0,141933
3168,Киа,202303,1733285.1546829476,0.0,150824
3169,Киа,202304,3368715.1931182574,3.0,123886
3170,Лада Самара,202407,458704.88092525915,1.0,137821
3171,Киа,202411,1997378.3843393335,36.0,142279
3172,Мерседес-Бенц,202411,4446374.263930848,6.0,203292
3173,Лада Самара,202304,209919.70193586737,36.0,123083
3174,Lada,202312,1002656.1547588572,7.0,145266
3175,Лада Самара,202310,470992.5446940784,29.0,123813
3176,Мерседес-Бенц,202410,6085052.861788957,15.0,205018
3177,Жигули,202402,496957.78441205923,16.0,129249
3178,Lada,202309,1442856.4117440113,22.0,141030
3179,Лада Самара,202403,160673.1385532916,5.0,120640
3180,Lada,202501,869907.8782003591,56.0,136182
3181,Жигули,202305,465459.6399771905,17.0,120999
3182,Мерседес-Бенц,202402,7037579.373595065,18.0,220770
3183,Лада Самара,202406,282975.41494742624,24.0,131834
3184,Lada,202307,471727.9317033537,13.0,130822
3185,Лада Самара,202402,424374.4046870837,19.0,131072
3186,Lada,202403,888059.7331186984,7.0,116357
3187,Лада Самара,202312,347398.0686039648,0.0,137382
3188,Lada,202307,1061083.497983707,8.0,151253
3189,Лада Самара,202405,420313.0923944049,3.0,153385
3190,Lada,202302,1088383.1987751392,17.0,141949
3191,Lada,202301,812161.0688399869,52.0,121560
3192,Лада Самара,202307,362326.6246381056,15.0,110460
3193,Lada,202410,796697.8292243785,13.0,139260
3194,Мерседес-Бенц,202301,5670448.926385012,44.0,194246
3195,Киа,202306,2809297.834175153,9.0,145002
3196,Lada,202404,942878.3947482166,75.0,135152
3197,Жигули,202309,255971.3308257352,20.0,124938
3198,Мерседес-Бенц,202412,6157091.602468406,51.0,198429
3199,Lada,202303,1222928.1524562999,19.0,146586
3200,Мерседес-Бенц,202411,5979826.982814265,7.0,189451
3201,Жигули,202309,272202.21077268146,19.0,118221
3202,Lada,202412,827541.252746844,6.0,143217
3203,Киа,202405,2262200.840715562,6.0,144328
3204,Мерседес-Бенц,202302,4351275.495659328,60.0,239232
3205,Жигули,202403,340991.3590787792,11.0,112325
3206,Lada,202404,988453.0771915771,51.0,152449
3207,Lada,202304,598444.2877738817,16.0,119250
3208,Киа,202312,2181557.07568918,5.0,141955
3209,Лада Самара,202307,445151.33515078365,6.0,143632
3210,Жигули,202401,435231.26968924695,8.0,143461
3211,Жигули,202304,368598.4675694294,18.0,128192
3212,Mercedes,202401,4582630.896016252,58.0,248662
3213,Лада Самара,202402,533621.858064989,0.0,133113
3214,Lada,202305,1091763.0390864802,18.0,133523
3215,Lada,202405,991489.9313297446,5.0,105532
3216,Lada,202305,955327.1331000543,45.0,126618
3217,Киа,202501,2098842.4624478803,34.0,143383
3218,Киа,202307,1385380.5729472316,-100.0,134203
3219,Мерседес-Бенц,202412,5889026.07600829,0.0,165624
3220,Киа,202501,3289446.293000121,16.0,178934
3221,Мерседес-Бенц,202411,2183096.4421940926,5.0,188370
3222,Лада Самара,202402,524873.804337451,23.0,118214
3223,Киа,202308,2088997.171907255,40.0,203833
3224,Лада Самара,202406,543617.4729497824,17.0,149286
3225,Киа,202407,1513983.7433416843,4.0,134506
3226,Киа,202305,2722255.7809006507,58.0,141255
3227,Лада Самара,202306,549497.4231732783,1.0,113510
3228,Мерседес-Бенц,202311,6696076.216545029,38.0,179872
3229,Lada,202409,791574.3852682854,98.0,127641
3230,Лада Самара,202411,425406.40010053304,26.0,142381
3231,Киа,202307,3154543.7098998567,40.0,175893
3232,Lada,202302,831109.3238355371,0.0,142593
3233,Киа,202304,1952103.0853101355,1.0,164235
3234,Жигули,202301,376633.5807021401,21.0,120483
3235,Lada,202409,624704.0544245327,9.0,142474
3236,Lada,202410,767981.893939277,6.0,138731
3237,Lada,202410,516305.19297954196,5.0,133211
3238,Lada,202312,985580.2248365462,23.0,153466
3239,Мерседес-Бенц,202405,7412933.811676359,17.0,221636
3240,Киа,202301,1705485.4408604333,9.0,152729
3241,Киа,202402,1919929.2848598582,19.0,140012
3242,Киа,202303,3206696.774821707,0.0,161778
3243,Киа,202308,1924736.6875425011,21.0,133364
3244,Мерседес-Бенц,202404,8256473.750924068,4.0,175853
3245,Жигули,202308,269949.18379838095,54.0,97878
3246,Мерседес-Бенц,202405,6392763.5289458595,10.0,203387
3247,Киа,202304,2319455.0003638915,28.0,158124
3248,Лада Самара,202312,453914.5395482764,10.0,118119
3249,Киа,202304,2105558.2521992545,0.0,140970
3250,Киа,202501,1594787.3255695826,1.0,161482
3251,Мерседес-Бенц,202405,4975152.234732748,29.0,220386
3252,Лада Самара,202309,416931.192725722,33.0,128319
3253,Лада Самара,202404,435209.9900132612,25.0,146705
3254,Киа,202307,2218651.5390997003,5.0,165019
3255,Lada,202312,997888.747911229,67.0,153661
3256,Лада Самара,202307,385215.8066143778,1.0,138031
3257,Киа,202409,1782782.0688499836,43.0,131105
3258,Киа,202311,1637678.479940307,13.0,175778
3259,Lada,202312,1350193.0297983682,14.0,139344
3260,Lada,202402,1030736.4370998621,7.0,128200
3261,Lada,202307,877805.8305604045,4.0,146615
3262,Лада Самара,202304,330064.3560284807,4.0,128472
3263,Жигули,202411,247051.19131017028,3.0,89196
3264,Лада Самара,202501,386861.79607861175,45.0,152102
3265,Киа,202409,2122253.7744396613,5.0,140694
3266,Жигули,202411,240763.1605893253,0.0,111251
3267,Лада Самара,202407,533669.0815909806,85.0,137332
3268,Жигули,202409,333622.65143004496,19.0,118057
3269,Лада Самара,202410,724652.7533793582,9.0,136798
3270,Киа,202412,2597919.1249686973,15.0,165048
3271,Жигули,202403,212037.06381924267,8.0,126111
3272,Мерседес-Бенц,202306,3576124.0384215415,2.0,179459
3273,Жигули,202301,291208.2118787538,28.0,106537
3274,Жигули,202412,488660.8272340502,1.0,112576
3275,Киа,202407,1966270.176995183,10.0,138666
3276,Мерседес-Бенц,202304,8111589.847854286,50.0,193196
3277,Киа,202408,1851986.9161847336,27.0,139683
3278,Мерседес-Бенц,202308,5694187.98968182,22.0,235995
3279,Lada,202402,698335.7127874949,3.0,138940
3280,Киа,202304,2550830.390294979,51.0,148488
3281,Киа,202410,1692560.5175205476,8.0,151112
3282,Лада Самара,202411,539214.768619046,34.0,141807
3283,Лада Самара,202409,460561.2990032454,18.0,125695
3284,Жигули,202411,401978.0596092418,2.0,118985
3285,Lada,202308,1339839.3380498593,35.0,109497
3286,Киа,202407,1601635.6149212788,50.0,153339
3287,Жигули,202305,320084.2611845872,33.0,130410
3288,Жигули,202301,337863.35621697456,11.0,127909
3289,Лада Самара,202311,292073.71700562426,10.0,134381
3290,Lada,202311,635218.2937441155,37.0,120101
3291,Киа,202311,1570146.4756051411,6.0,153848
3292,Мерседес-Бенц,202305,5147834.0153681785,24.0,228215
3293,Жигули,202401,309365.0734954293,92.0,135948
3294,Киа,202408,2357016.490615195,10.0,149681
3295,Киа,202305,1456555.138653036,4.0,151826
3296,Lada,202408,589342.9865883382,40.0,133150
3297,Лада Самара,202409,290977.4599827662,3.0,139172
3298,Lada,202411,1044985.0418837907,2.0,125910
3299,Lada,202302,833772.494806635,9.0,127624
3300,Lada,202306,1037851.4376896535,28.0,135442
3301,Лада Самара,202403,307397.31051559147,6.0,131004
3302,Lada,202405,1043896.8630837973,35.0,118381
3303,Киа,202406,4094124.8802539916,28.0,151130
3304,Жигули,202403,536417.8955097051,8.0,107228
3305,Лада Самара,202304,646126.3283723209,12.0,133862
3306,Lada,202410,911896.4844549529,33.0,173359
3307,Киа,202402,1497045.4514574688,20.0,161989
3308,Лада Самара,202404,255510.23340267362,36.0,121540
3309,Lada,202407,1071853.112513796,60.0,138656
3310,Киа,202405,2313808.20697594,20.0,159884
3311,Жигули,202404,474805.50913276145,7.0,106954
3312,Мерседес-Бенц,202501,5003536.844135283,7.0,211407
3313,Lada,202306,1128437.1076849771,60.0,137091
3314,Жигули,202308,334747.585002183,18.0,120466
3315,Жигули,202411,431725.54544496385,50.0,115357
3316,Лада Самара,202309,602823.9699044428,11.0,134244
3317,Киа,202410,1949152.3764552227,47.0,173915
3318,Лада Самара,202303,436102.7291840756,12.0,128667
3319,Lada,202303,792104.9873337783,,149970
3320,Лада Самара,202410,491693.76309534383,59.0,136700
3321,Жигули,202304,421987.43745336414,23.0,125605
3322,Мерседес-Бенц,202406,4001920.3427270874,23.0,237637
3323,Киа,202312,2926426.1132239625,31.0,151391
3324,Лада Самара,202410,282315.5396049131,47.0,136497
3325,Киа,202405,3088464.6266668364,38.0,163295
3326,Киа,202412,2550606.5210249987,23.0,138221
3327,Киа,202303,1843728.97725405,1.0,159566
3328,Киа,202402,1971335.2744859313,59.0,148413
3329,Жигули,202406,475771.04734767746,-100.0,109295
3330,Жигули,202301,344735.8324566177,18.0,106831
3331,Lada,202311,1050928.2147421762,30.0,123330
3332,Жигули,202311,533577.537274538,18.0,126769
3333,Киа,202412,3029369.085834948,34.0,170582
3334,Lada,202310,830095.8562275204,22.0,125585
3335,Лада Самара,202304,483088.47181043675,37.0,144249
3336,Жигули,202406,345677.88249096606,1.0,114159
3337,Жигули,202312,494111.01643481624,32.0,107097
3338,Киа,202306,1492148.0322792453,3.0,140471
3339,Киа,202411,1325083.0439236644,55.0,162867
3340,Жигули,202311,465469.7924968963,35.0,110995
3341,Lada,202307,535514.9864473897,1.0,113651
3342,Lada,202410,701052.2706829007,15.0,126569
3343,Мерседес-Бенц,202309,5076110.819196577,15.0,191677
3344,Лада Самара,202306,504371.053297887,73.0,162864
3345,Лада Самара,202406,436180.7125662811,1.0,131385
3346,Лада Самара,202406,345359.08154918504,51.0,153117
3347,Лада Самара,202302,194940.15471922493,55.0,134274
3348,Лада Самара,202308,379739.3478016641,22.0,138934
3349,Lada,202301,837690.3596192849,51.0,149987
3350,Киа,202308,3451222.166749223,38.0,134090
3351,Мерседес-Бенц,202305,3107130.2658676766,0.0,173108
3352,Жигули,202308,415000.4227306277,11.0,127797
3353,Лада Самара,202306,436476.12538480264,11.0,135131
3354,Лада Самара,202409,444367.2377714147,56.0,143908
3355,Мерседес-Бенц,202312,3462375.4563046047,3.0,184103
3356,Киа,202310,2658956.3351325006,29.0,150478
3357,Лада Самара,202308,464771.1720537369,64.0,157107
3358,Киа,202404,1594513.1361796316,9.0,141032
3359,Mercedes,202404,2820498.2054015845,9.0,244736
3360,Лада Самара,202312,499563.7763942356,1.0,134434
3361,Лада Самара,202407,361597.0153440391,7.0,122751
3362,Киа,202403,2371722.811278317,4.0,166847
3363,Мерседес-Бенц,202410,7572161.219880039,7.0,231427
3364,Киа,202311,3500626.359732822,2.0,128908
3365,Мерседес-Бенц,202311,9044287.597239168,23.0,224563
3366,Лада Самара,202401,720184.3913703598,29.0,130871
3367,Жигули,202411,514531.3766975488,20.0,120702
3368,Лада Самара,202501,258932.15161504413,60.0,110561
3369,Лада Самара,202501,326913.7074278566,29.0,130235
3370,Мерседес-Бенц,202410,4867829.709317564,9.0,187122
3371,Жигули,202309,163424.54954594254,8.0,118155
3372,Киа,202307,2610768.132608996,8.0,135613
3373,Мерседес-Бенц,202405,5556941.918205507,16.0,187771
3374,Мерседес-Бенц,202307,6515610.089394248,61.0,190570
3375,Киа,202411,2099047.284828603,8.0,167854
3376,Киа,202412,1900695.7431301759,71.0,150703
3377,Киа,202311,1534290.010217432,17.0,157650
3378,Мерседес-Бенц,202405,4982214.479687533,37.0,214151
3379,Жигули,202311,321585.5371265981,2.0,109695
3380,Киа,202412,1732812.9713500284,8.0,154943
3381,Lada,202401,949173.1585627227,0.0,127619
3382,Lada,202404,1137333.1277544594,23.0,126191
3383,Жигули,202409,345539.3283819723,9.0,118726
3384,Киа,202404,2482364.0493443953,24.0,181165
3385,Лада Самара,202410,526304.0917478125,6.0,117223
3386,Lada,202410,932153.2888189419,13.0,128751
3387,Киа,202307,2698758.894677423,,159770
3388,Лада Самара,202404,356175.8759542173,8.0,114890
3389,Мерседес-Бенц,202306,6760114.637282898,25.0,201589
3390,Мерседес-Бенц,202408,6343535.2978746435,15.0,229287
3391,Киа,202305,2997764.7988119605,17.0,144489
3392,Лада Самара,202304,493485.0446221453,46.0,150694
3393,Киа,202304,1307529.4031096222,74.0,138548
3394,Мерседес-Бенц,202306,4815409.718131157,33.0,237579
3395,Киа,202410,2741000.625470612,5.0,185388
3396,Киа,202405,1135677.9265146542,40.0,126600
3397,Киа,202407,3054511.6047903737,0.0,163889
3398,Киа,202306,2762136.6546359346,9.0,147580
3399,Жигули,202305,389870.2708552457,12.0,116533
3400,Lada,202306,906756.5271571579,3.0,119765
3401,Мерседес-Бенц,202309,7766774.408552935,19.0,185060
3402,Lada,202406,686881.6212384675,0.0,135811
3403,Жигули,202307,425653.7695455051,8.0,115669
3404,Жигули,202412,293829.27119295043,11.0,99134
3405,Мерседес-Бенц,202412,6582119.430734796,39.0,227125
3406,Lada,202404,930399.529011637,31.0,139297
